RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty
2020-06-26,DI1N20,BRBMEFD1I3M0,FINANCIAL,2.145,2.15,2.147,2.15,99974.71,,27,45390
2020-06-26,DI1N21,BRBMEFD1I3W9,FINANCIAL,2.39,2.47,2.431,2.41,97628.26,,2917,112980
2020-06-26,DI1N22,BRBMEFD1I3X7,FINANCIAL,3.54,3.69,3.607,3.57,93217.05,,2522,43895
2020-06-26,DI1N23,BRBMEFD1I454,FINANCIAL,4.6,4.78,4.688,4.66,87187.59,,1714,25570
2020-06-26,DI1N24,BRBMEFD1I462,FINANCIAL,5.48,5.58,5.52,5.5,80694.9,,17,220
2020-06-26,DI1N25,BRBMEFD1I603,FINANCIAL,6.08,6.18,6.115,6.1,74402.29,,9,290
2020-06-26,DI1N26,BRBMEFD1I611,FINANCIAL,6.62,6.62,6.62,6.62,68211.89,,2,15
2020-06-26,DI1Q20,BRBMEFD1I6E0,FINANCIAL,2.145,2.154,2.146,2.154,99780.36,,11,45060
2020-06-26,DI1U20,BRBMEFD1I6F7,FINANCIAL,2.103,2.112,2.108,2.112,99612.05,,17,4935
2020-06-26,DI1V20,BRBMEFD1I363,FINANCIAL,2.08,2.1,2.091,2.09,99444.71,,937,176880
2020-06-26,DI1V21,BRBMEFD1I447,FINANCIAL,2.69,2.78,2.71,2.69,96695.62,,790,25355
2020-06-26,DI1V22,BRBMEFD1I5L7,FINANCIAL,3.87,3.9,3.889,3.9,91756.21,,33,380
2020-06-26,DI1V23,BRBMEFD1I645,FINANCIAL,4.93,5.03,4.973,4.93,85528.82,,13,155
2020-06-26,DI1V24,BRBMEFD1I6G5,FINANCIAL,5.69,5.7,5.69,5.7,79062.46,,5,55
2020-06-26,DI1X20,BRBMEFD1I6H3,FINANCIAL,2.065,2.085,2.07,2.085,99280.72,,6,1215
2020-06-26,DI1Z20,BRBMEFD1I6I1,FINANCIAL,2.07,2.09,2.086,2.09,99119.38,,17,13250
2020-06-26,DOLF21,BRBMEFDOL3G6,FINANCIAL,5509.5,5509.5,5509.5,5509.5,5488.047,,1,5
2020-06-26,DOLF22,BRBMEFDOL5X6,FINANCIAL,5610,5610,5610,5610,5610.293,,4,810
2020-06-26,DOLF23,BRBMEFDOL660,FINANCIAL,,,,,5871.878,,,
2020-06-26,DOLF24,BRBMEFDOL694,FINANCIAL,,,,,6236.979,,,
2020-06-26,DOLF25,BRBMEFDOL3O0,FINANCIAL,,,,,6624.403,,,
2020-06-26,DOLG21,BRBMEFDOL678,FINANCIAL,,,,,5490.923,,,
